1,Modified Revolvers,Modified rifle,Reason,Shotgun,State1,Age Of Shooter,Case,Date,Fatalities,Gender,Injured,Latitude,Location 1,Location,Longitude,Mental Health Details,Mental Health Sources,modified handgun weapon,Prior Signs Mental Health Issues,Race,Sources,Sources Additional Age,Summary,Total Victims,Type,Weapon Details,Weapon Type,Weapons Obtained Legally,Where Obtained,Year
1,FALSE,FALSE,Hate Crime,FALSE,New Jersey,47,Jersey City kosher market shooting,12-Oct-19,4,Male,3,40.707363,Other,Jersey City,-74.083609,-,-,FALSE,Unclear,Black,https://www.nytimes.com/2019/12/15/nyregion/jersey-city-shooting-terrorism.html; https://twitter.com/fbimostwanted/status/1205621200505802752?s=21; https://www.nytimes.com/2019/12/12/nyregion/jersey-city-shooting-domestic-terrorism.html?smid=nytcore-ios-share; https://www.nytimes.com/2019/12/11/nyregion/jersey-city-shooting.html,-,"David N. Anderson, 47, and Francine Graham, 50, were heavily armed and traveling in a white van when they first killed a police officer in a cemetery, and then opened fire at a kosher market, â€œfueled both by anti-Semitism and anti-law enforcement beliefs,â€ according to New Jersey authorities. The pair, linked to the antisemitic ideology of the Black Hebrew Israelites extremist group, were killed after a lenghty gun battle with police at the market.",7,Spree,P2)),-,-,-,2019
1,FALSE,FALSE,Act of Terrorism,FALSE,Florida,21,Pensacola Naval base shooting,12-Jun-19,3,Male,8,30.364707,Military,Pensacola,-87.288567,-,-,TRUE,Unclear,-,https://www.washingtonpost.com/national-security/2019/12/06/naval-station-pensacola-active-shooter/; https://www.cnn.com/us/live-news/pensacola-naval-base-shooter/index.html,-,"Ahmed Mohammed al-Shamrani, A Saudi Arabian military pilot training in the United States, opened fire just before 7 a.m. in an air station classroom. He was soon shot and killed by responding Florida sheriffâ€™s deputies.",11,Mass,-,semiautomatic handgun,-,-,2019
1,FALSE,Rifle,NA,FALSE,Texas,36,Odessa-Midland shooting spree,31-Aug-19,7,Male,25,31.925974,Other,Odessa,-102.2796,"""One friend of the family said the gunman had a long history of mental problems, trouble with the law and making racist comments,"" according to a report in the New York Times.",https://www.nytimes.com/2019/09/02/us/texas-gunman-odessa-midland.html,FALSE,Yes,White,https://www.washingtonpost.com/politics/5-killed-21-injured-after-suspect-hijacked-a-mail-truck-in-odessa-texas/2019/08/31/f659da2c-cc3c-11e9-be05-f76ac4ec618c_story.html; https://www.chron.com/news/texas/article/Police-Multiple-gunshot-victims-from-Texas-14404855.php; https://www.nytimes.com/2019/09/01/us/death-toll-texas-shooting.html; https://www.washingtonpost.com/nation/2019/09/02/texas-gunman-who-killed-was-fired-job-day-rampage/; https://www.cnn.com/2019/09/02/us/west-texas-shooting-monday/index.html,-,"Seth A. Ator, 36, fired at police officers who stopped him for a traffic violation, and then went on a driving rampage in the Odessa-Midland region, where he also shot a postal worker and stole her vehicle. He was shot dead by law enforcement responding to the rampage. Ator had been fired from a job just prior to the attack (though per the FBI he had shown up to that job ""already enraged""). He had a criminal record and ""a long history of mental problems and making racist comments,"" according to a family friend who spoke to the media.",32,Spree,-,semiautomatic rifle,-,-,2019
1,FALSE,Rifle,NA,FALSE,Ohio,24,Dayton entertainment district shooting,08-Apr-19,9,Male,27,39.757312,Other,Dayton,-84.184947,-,-,FALSE,Unclear,White,https://www.nytimes.com/2019/08/04/us/dayton-ohio-shooting.html; https://www.nytimes.com/2019/08/04/us/mass-shootings-dayton-el-paso.html; https://www.washingtonpost.com/nation/2019/08/04/nine-fatally-shot-dayton-including-suspect-day-after-mass-shooting-texas/; https://www.washingtonpost.com/national/police-chief-it-seems-to-defy-believability-that-dayton-shooter-would-kill-his-own-sister/2019/08/05/920a895c-b79e-11e9-b3b4-2bb69e8c4e39_story.html; https://www.cnn.com/2019/08/05/us/connor-betts-dayton-shooting-profile/index.html,-,"Connor Betts, 24, died during the attack, following a swift police response. He wore tactical gear including body armor and hearing protection, and had an ammunition device capable of holding 100 rounds. Betts had a history of threatening behavior dating back to high school, including reportedly having hit lists targeting classmates for rape and murder.",36,Mass,"AR-15-style rifle, with a 100-round capacity ammunition drum",semiautomatic rifle,Yes,-,2019
1,FALSE,Rifle,Domestic Terrorism,FALSE,Texas,21,El Paso Walmart mass shooting,08-Mar-19,22,Male,26,31.771068,Workplace,El Paso,-106.375655,-,-,FALSE,Unclear,White,https://www.washingtonpost.com/nation/2019/08/04/investigators-search-answers-after-gunman-kills-el-paso/; https://www.nytimes.com/2019/08/04/us/mass-shootings-dayton-el-paso.html; https://www.apnews.com/5fb2144947974631912d1efa889f932b,-,"Patrick Crusius, 21, who was apprehended by police, posted a so-called manifesto online shortly before the attack espousing ideas of violent white nationalism and hatred of immigrants. ""This attack is a response to the Hispanic invasion of Texas,"" he allegedly wrote in the document.",48,Mass,"AK-47-style rifle, per authorities",semiautomatic rifle,Yes,-,2019
1,FALSE,Rifle,Domestic Terrorism,FALSE,California,19,Gilroy garlic festival shooting,28-Jul-19,3,Male,12,36.997191,Other,Gilroy,-121.584819,-,-,FALSE,Unclear,-,https://www.cbsnews.com/live-news/garlic-festival-mass-shooting-gilroy-california-victims-suspect-santino-william-legan-live-updates/; https://www.sfgate.com/news/article/Report-Suspect-ID-in-Gilroy-Garlic-Festival-14192736.php; https://www.nytimes.com/2019/07/29/us/gilroy-festival-shooting.html; https://www.latimes.com/california/story/2019-07-29/what-we-know-about-gilroy-garlic-festival-shooting-suspect-santino-william-legan; https://www.washingtonpost.com/nation/2019/07/29/multiple-people-reportedly-injured-shooting-california-food-festival/; https://heavy.com/news/2019/07/santino-william-legan/; https://www.cnn.com/2019/08/06/us/gilroy-festival-shooting/index.html,-,"Santino William LeGan, 19, fired indiscriminately into the crowd near a concert stage at the festival. He used an AK-47-style rifle, purchased legally in Nevada three weeks earlier. After apparently pausing to reload, he fired additional multiple rounds before police shot him and then he killed himself. A witness described overhearing someone shout at LeGan, ""Why are you doing this?"" LeGan, who wore camouflage and tactical gear, replied: â€œBecause I'm really angry."" The murdered victims included a 13-year-old girl, a man in his 20s, and six-year-old Stephen Romero.",15,Mass,"AK-47-style rifle, per authorities",semiautomatic rifle,Yes,"Nevada, on July 9",2019
1,FALSE,FALSE,,FALSE,Virginia,40,Virginia Beach municipal building shooting,31-May-19,12,Male,4,36.75442,Workplace,Virginia Beach,-76.060378,-,-,TRUE,Unclear,Black,https://www.washingtonpost.com/local/public-safety/virginia-beach-officials-expect-to-release-additional-details-of-mass-shooting/2019/06/02/a001b856-852f-11e9-a870-b9c411dc4312_story.html; https://pilotonline.com/news/local/virginia-beach-mass-shooting/article_e15ea290-853f-11e9-aa50-93751bba3c3b.html; https://pilotonline.com/news/local/virginia-beach-mass-shooting/article_c8353020-84a1-11e9-aa12-d3bf967368c4.html; https://www.npr.org/2019/06/04/729413913/do-extended-magazines-facilitate-mass-shootings; https://www.nbcnews.com/news/us-news/virginia-beach-shooter-killed-12-using-silencer-high-capacity-magazine-n1012771,-,"DeWayne Craddock, 40, a municipal city worker wielding handguns, a suppressor and high-capacity magazines, killed en masse inside a Virginia Beach muncipal building late in the day on a Friday, before dying in a prolonged gun battle with police. Craddock reportedly had submitted his resignation from his job that morning. He was a veteran of the Virginia Army National Guard, and ""had a shaved head, bodybuilderâ€™s physique and cameras in the windows of his house on a peaceful cul-de-sac,"" according to the Washington Post.",16,Mass,.45-caliber handguns; noise suppressor (silencer); several high-capacity magazines,Handgun,Yes,-,2019
1,FALSE,FALSE,Job,FALSE,Illinois,45,Harry Pratt Co. warehouse shooting,15-Feb-19,5,Male,6,41.753725,Workplace,Aurora,-88.331057,(pending),-,TRUE,Yes,Black,https://www.washingtonpost.com/nation/2019/02/16/man-kills-five-warehouse-shooting-spree-shortly-after-being-fired-illinois-police-say/?utm_term=.9863ec4ffc41; https://www.cnn.com/2019/02/17/us/aurora-shooting-termination/index.html; https://www.wsj.com/articles/companies-roll-out-gunshot-detectors-at-the-office-11550575801; https://www.cbsnews.com/news/gary-martin-aurora-illinois-plant-gunman-threatened-violence-if-fired-prosecutors-say/,-,"Gary Martin, 45, went on a rampage inside the warehouse in response to being fired from his job and died soon thereafter in a shootout with police. Among his victims were five dead coworkers and five injured police officers. Martin had a felony record and lengthy history of domestic violence; he was able to obtain a gun despite having had his Illinois firearms ownership identification card revoked. According to a report from prosecutors, Martin told a co-worker the morning of the shooting that if he was fired he was going to kill employees and police.",11,Mass,"Smith & Wesson handgun, with a green sighting laser",Handgun,No,-,2019
1,FALSE,FALSE,Girlfriend/Military pressure,FALSE,Pennsylvania,21,Pennsylvania hotel bar shooting,24-Jan-19,3,Male,1,40.785142,Other,State College,-77.839411,-,-,TRUE,Unclear,White,http://www.wistv.com/2019/01/26/details-emerge-about-shooting-rampage-near-penn-state/; https://www.pennlive.com/news/2019/01/state-college-shooter-pleaded-guilty-to-dui-crash-charges-days-before-killings.html; https://www.pennlive.com/news/2019/01/man-who-killed-3-in-state-college-wanted-to-be-a-cop-relatives-say.html,-,"Jordan Witmer, 21, shot three people at a Ramada Hotel bar near Penn State University, including a former girlfriend he was there with. He then fled the bar, crashed his car about a mile away, and stormed into a random house, fatally shooting an elderly resident and then himself. Witmer, who had a legal carry permit for his handgun, had just finished a three-year stint in the US Army; ten days prior to the attack he had been convicted on drunk driving-related charges in Kentucky, where he'd been stationed. ",4,Spree,-,Handgun,Yes,-,2019
1,FALSE,FALSE,Psychic,FALSE,Florida,21,SunTrust bank shooting,23-Jan-19,5,Male,0,27.471043,Workplace,Sebring,-81.45847,Xaver was reported to have a lenghty history of expressing violent desires; an ex-girlfriend said she first met him at a psychiatric hospital in 2013.,https://wsbt.com/news/local/classmate-says-florida-bank-shooter-who-allegedly-killed-5-attended-bremen-high-school; https://www.washingtonpost.com/nation/2019/01/23/several-people-shot-after-gunman-barricades-himself-florida-bank-authorities-say/,TRUE,Yes,White,https://wsbt.com/news/local/classmate-says-florida-bank-shooter-who-allegedly-killed-5-attended-bremen-high-school; https://www.washingtonpost.com/nation/2019/01/23/several-people-shot-after-gunman-barricades-himself-florida-bank-authorities-say/; https://www.wptv.com/news/state/accused-bank-shooter-zephen-xaver-fascinated-with-violence-ex-girlfriend-says; https://www.npr.org/2019/01/24/688183605/man-charged-with-murder-after-allegedly-killing-5-women-at-suntrust-bank-in-flor; https://www.wesh.com/article/sebring-bank-shooting-latest/26012533; https://www.apnews.com/c3523d282b2942739240731daaf797c2,-,"Zephen A. Xaver, 21, fatally shot five women inside a bank and then called the police to confess. He was armed with a handgun and wore a bulletproof vest. He reportedly ordered the women to lie down on the floor and shot them execution-style. After a standoff with police, he surrendered and was taken into custody. A week prior, Xaver had quit a job as a prison guard trainee, and authorities said they believed the shooting was ""a random act"" and that roberry did not appear to be a motive. An ex-girlfriend in Indiana told local media she'd been â€œscared for yearsâ€ by Xaverâ€™s talk of violence and death, but that her warnings to others (who she did not identify) were not taken seriously. She said sheâ€™d first met Xaver in a psychiatric hospital in 2013. In March 2017, Michigan State Police documented an incident in which Xaver indicated he was â€œpossibly thinking of suicide by cop and taking hostages.""",5,Mass,9 mm handgun,Handgun,Yes,-,2019
